category,source,photo,model,encoder,device,width,height,inference_time_sec,depth_min,depth_max,depth_mean,depth_std,depth_p05,depth_p50,depth_p95,depth_range,depth_map,comparison
asaken,asaken,photos/asaken/IMG-20260623-WA0011.jpeg,Small,vits,cuda,3840,2160,0.763260,0.273567,6.746600,2.739616,1.572698,0.692423,2.563742,6.152869,6.473033,results/small/depth_maps/asaken_IMG-20260623-WA0011_small.png,results/small/comparisons/asaken_IMG-20260623-WA0011_small.png
asaken,asaken,photos/asaken/IMG-20260623-WA0014.jpeg,Small,vits,cuda,3840,2160,0.156383,0.344971,6.544585,3.069952,1.692293,0.703285,2.996673,6.142719,6.199614,results/small/depth_maps/asaken_IMG-20260623-WA0014_small.png,results/small/comparisons/asaken_IMG-20260623-WA0014_small.png
asaken,asaken,photos/asaken/IMG_20260623_154720.jpg,Small,vits,cuda,3000,4000,0.155115,0.000000,6.595502,2.209856,1.979988,0.000000,1.552114,6.191987,6.595502,results/small/depth_maps/asaken_IMG_20260623_154720_small.png,results/small/comparisons/asaken_IMG_20260623_154720_small.png
asaken,asaken,photos/asaken/IMG_20260623_171156.jpg,Small,vits,cuda,3000,4000,0.154804,0.000000,6.464092,2.926362,1.592794,0.423292,2.897506,5.834120,6.464092,results/small/depth_maps/asaken_IMG_20260623_171156_small.png,results/small/comparisons/asaken_IMG_20260623_171156_small.png
asaken,asaken,photos/asaken/IMG_20260623_172846.jpg,Small,vits,cuda,4000,3000,0.158992,0.000000,8.305105,3.075801,2.248358,0.271883,3.009479,7.285166,8.305105,results/small/depth_maps/asaken_IMG_20260623_172846_small.png,results/small/comparisons/asaken_IMG_20260623_172846_small.png
asaken,asaken,photos/asaken/IMG_20260623_173049.jpg,Small,vits,cuda,3000,4000,0.152104,0.000000,11.725675,2.649785,2.254011,0.526867,2.005021,8.112003,11.725675,results/small/depth_maps/asaken_IMG_20260623_173049_small.png,results/small/comparisons/asaken_IMG_20260623_173049_small.png
asaken,asaken,photos/asaken/IMG_20260623_173357.jpg,Small,vits,cuda,3000,4000,0.152304,0.150922,6.667295,3.093990,1.753187,0.319434,3.115101,5.808952,6.516373,results/small/depth_maps/asaken_IMG_20260623_173357_small.png,results/small/comparisons/asaken_IMG_20260623_173357_small.png
asaken,asaken,photos/asaken/IMG_20260623_173606.jpg,Small,vits,cuda,3000,4000,0.151761,0.202020,5.338146,2.294608,1.083680,0.666434,2.199246,4.105151,5.136126,results/small/depth_maps/asaken_IMG_20260623_173606_small.png,results/small/comparisons/asaken_IMG_20260623_173606_small.png
asaken,asaken,photos/asaken/IMG_20260623_173635.jpg,Small,vits,cuda,3000,4000,0.315073,0.248461,6.283232,2.182769,1.186252,0.646662,1.900642,4.558566,6.034771,results/small/depth_maps/asaken_IMG_20260623_173635_small.png,results/small/comparisons/asaken_IMG_20260623_173635_small.png
asaken,asaken,photos/asaken/IMG_20260623_173704.jpg,Small,vits,cuda,3000,4000,0.146939,0.318698,5.541131,2.066584,1.275642,0.597324,1.614115,4.425876,5.222433,results/small/depth_maps/asaken_IMG_20260623_173704_small.png,results/small/comparisons/asaken_IMG_20260623_173704_small.png
